image_id,embryo_id,snip_id,frame_index,area_px,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,mask_confidence,exported_mask_path,experiment_id,video_id,is_seed_frame,Height (um),Height (px),Width (um),Width (px),BF Channel,Objective,Time (s),Time Rel (s),height_um,height_px,width_um,width_px,bf_channel,objective,raw_time_s,relative_time_s,microscope,nd2_series_num,medium,genotype,chem_perturbation,start_age_hpf,embryos_per_well,temperature,well_qc_flag
20250612_30hpf_ctrl_atf6_G05_ch00_t0000,20250612_30hpf_ctrl_atf6_G05_e01,20250612_30hpf_ctrl_atf6_G05_e01_s0000,0,236478.0,0.22152777777777777,0.28421052631578947,0.6451388888888889,0.5017543859649123,0.85,20250612_30hpf_ctrl_atf6_G05_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_G05,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_H06_ch00_t0000,20250612_30hpf_ctrl_atf6_H06_e01,20250612_30hpf_ctrl_atf6_H06_e01_s0000,0,256635.0,0.4131944444444444,0.20906432748538012,0.7854166666666667,0.46345029239766083,0.85,20250612_30hpf_ctrl_atf6_H06_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_H06,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_A12_ch00_t0000,20250612_30hpf_ctrl_atf6_A12_e01,20250612_30hpf_ctrl_atf6_A12_e01_s0000,0,219284.0,0.23125,0.4415204678362573,0.6729166666666667,0.652046783625731,0.85,20250612_30hpf_ctrl_atf6_A12_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A12,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_A11_ch00_t0000,20250612_30hpf_ctrl_atf6_A11_e01,20250612_30hpf_ctrl_atf6_A11_e01_s0000,0,236279.0,0.4583333333333333,0.5271929824561403,0.7333333333333333,0.8929824561403509,0.85,20250612_30hpf_ctrl_atf6_A11_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A11,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_E07_ch00_t0000,20250612_30hpf_ctrl_atf6_E07_e01,20250612_30hpf_ctrl_atf6_E07_e01_s0000,0,164694.0,0.43472222222222223,0.4190058479532164,0.7513888888888889,0.5780701754385965,0.85,20250612_30hpf_ctrl_atf6_E07_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_E07,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_E11_ch00_t0000,20250612_30hpf_ctrl_atf6_E11_e01,20250612_30hpf_ctrl_atf6_E11_e01_s0000,0,223479.0,0.24722222222222223,0.5514619883040935,0.8048611111111111,0.6722222222222223,0.85,20250612_30hpf_ctrl_atf6_E11_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_E11,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_C12_ch00_t0000,20250612_30hpf_ctrl_atf6_C12_e01,20250612_30hpf_ctrl_atf6_C12_e01_s0000,0,145596.0,0.30694444444444446,0.37456140350877193,0.5597222222222222,0.5780701754385965,0.85,20250612_30hpf_ctrl_atf6_C12_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_C12,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_B01_ch00_t0000,20250612_30hpf_ctrl_atf6_B01_e01,20250612_30hpf_ctrl_atf6_B01_e01_s0000,0,159137.0,0.12430555555555556,0.3152046783625731,0.5006944444444444,0.47485380116959064,0.85,20250612_30hpf_ctrl_atf6_B01_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_B01,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_D01_ch00_t0000,20250612_30hpf_ctrl_atf6_D01_e01,20250612_30hpf_ctrl_atf6_D01_e01_s0000,0,159697.0,0.31527777777777777,0.23508771929824562,0.6854166666666667,0.36198830409356725,0.85,20250612_30hpf_ctrl_atf6_D01_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_D01,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_E01_ch00_t0000,20250612_30hpf_ctrl_atf6_E01_e01,20250612_30hpf_ctrl_atf6_E01_e01_s0000,0,151476.0,0.2722222222222222,0.5614035087719298,0.6486111111111111,0.7049707602339181,0.85,20250612_30hpf_ctrl_atf6_E01_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_E01,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_C08_ch00_t0000,20250612_30hpf_ctrl_atf6_C08_e01,20250612_30hpf_ctrl_atf6_C08_e01_s0000,0,159753.0,0.3402777777777778,0.6269005847953216,0.6472222222222223,0.8090643274853802,0.85,20250612_30hpf_ctrl_atf6_C08_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_C08,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_D12_ch00_t0000,20250612_30hpf_ctrl_atf6_D12_e01,20250612_30hpf_ctrl_atf6_D12_e01_s0000,0,213736.0,0.3875,0.36403508771929827,0.9625,0.4789473684210526,0.85,20250612_30hpf_ctrl_atf6_D12_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_D12,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_H11_ch00_t0000,20250612_30hpf_ctrl_atf6_H11_e01,20250612_30hpf_ctrl_atf6_H11_e01_s0000,0,230537.0,0.35347222222222224,0.5029239766081871,0.7416666666666667,0.7470760233918129,0.85,20250612_30hpf_ctrl_atf6_H11_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_H11,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_G03_ch00_t0000,20250612_30hpf_ctrl_atf6_G03_e01,20250612_30hpf_ctrl_atf6_G03_e01_s0000,0,241346.0,0.36319444444444443,0.24269005847953215,0.6402777777777777,0.583625730994152,0.85,20250612_30hpf_ctrl_atf6_G03_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_G03,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_A02_ch00_t0000,20250612_30hpf_ctrl_atf6_A02_e01,20250612_30hpf_ctrl_atf6_A02_e01_s0000,0,140739.0,0.425,0.247953216374269,0.7854166666666667,0.35906432748538014,0.85,20250612_30hpf_ctrl_atf6_A02_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_A02,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_F04_ch00_t0000,20250612_30hpf_ctrl_atf6_F04_e01,20250612_30hpf_ctrl_atf6_F04_e01_s0000,0,267178.0,0.2951388888888889,0.19736842105263158,0.7861111111111111,0.5318713450292397,0.85,20250612_30hpf_ctrl_atf6_F04_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_F04,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_B04_ch00_t0000,20250612_30hpf_ctrl_atf6_B04_e01,20250612_30hpf_ctrl_atf6_B04_e01_s0000,0,260581.0,0.41944444444444445,0.49678362573099416,0.7111111111111111,0.8728070175438597,0.85,20250612_30hpf_ctrl_atf6_B04_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_B04,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_H03_ch00_t0000,20250612_30hpf_ctrl_atf6_H03_e01,20250612_30hpf_ctrl_atf6_H03_e01_s0000,0,238517.0,0.3277777777777778,0.3073099415204678,0.6368055555555555,0.6274853801169591,0.85,20250612_30hpf_ctrl_atf6_H03_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_H03,True,,,,,,,,,,,,,,,,,,,,,,,,,
20250612_30hpf_ctrl_atf6_G11_ch00_t0000,20250612_30hpf_ctrl_atf6_G11_e01,20250612_30hpf_ctrl_atf6_G11_e01_s0000,0,238384.0,0.46319444444444446,0.28362573099415206,0.8201388888888889,0.5502923976608187,0.85,20250612_30hpf_ctrl_atf6_G11_ch00_t0000_masks_emnum_1.png,20250612_30hpf_ctrl_atf6,20250612_30hpf_ctrl_atf6_G11,True,,,,,,,,,,,,,,,,,,,,,,,,,
