image_id,embryo_id,snip_id,frame_index,area_px,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,mask_confidence,exported_mask_path,experiment_id,video_id,is_seed_frame
20240418_D04_ch00_t0000,20240418_D04_e01,20240418_D04_e01_s0000,0,40787.0,0.19141160347190497,0.6665143901324806,0.29100045682960257,0.7724988579259936,0.85,20240418_D04_ch00_t0000_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0000,20240418_D04_e02,20240418_D04_e02_s0000,0,33499.0,0.5491091822750114,0.49337597076290546,0.6464138876199178,0.5879396984924623,0.85,20240418_D04_ch00_t0000_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0001,20240418_D04_e01,20240418_D04_e01_s0001,1,40531.0,0.18912745545911375,0.671082686158063,0.2896299680219278,0.7729556875285518,0.85,20240418_D04_ch00_t0001_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0001,20240418_D04_e02,20240418_D04_e02_s0001,1,35057.0,0.5431703974417542,0.49337597076290546,0.6464138876199178,0.5856555504796711,0.85,20240418_D04_ch00_t0001_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0002,20240418_D04_e01,20240418_D04_e01_s0002,2,40920.0,0.187756966651439,0.6701690269529466,0.2905436272270443,0.7729556875285518,0.85,20240418_D04_ch00_t0002_masks_emnum_2.png,20240418,20240418_D04,True
20240418_D04_ch00_t0002,20240418_D04_e02,20240418_D04_e02_s0002,2,31462.0,0.5431703974417542,0.4970306075833714,0.6400182731841023,0.5810872544540886,0.85,20240418_D04_ch00_t0002_masks_emnum_2.png,20240418,20240418_D04,True
20240418_D04_ch00_t0003,20240418_D04_e01,20240418_D04_e01_s0003,3,41627.0,0.18638647784376428,0.6687985381452718,0.29100045682960257,0.7724988579259936,0.85,20240418_D04_ch00_t0003_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0003,20240418_D04_e02,20240418_D04_e02_s0003,3,31198.0,0.5431703974417542,0.5006852444038373,0.6404751027866605,0.5833714024668799,0.85,20240418_D04_ch00_t0003_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0004,20240418_D04_e01,20240418_D04_e01_s0004,4,42808.0,0.18410232983097305,0.6683417085427136,0.29328460484239377,0.7729556875285518,0.85,20240418_D04_ch00_t0004_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0004,20240418_D04_e02,20240418_D04_e02_s0004,4,29724.0,0.5468250342622202,0.5047967108268616,0.6423024211968935,0.5842850616719963,0.85,20240418_D04_ch00_t0004_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0005,20240418_D04_e01,20240418_D04_e01_s0005,5,44133.0,0.18090452261306533,0.6660575605299224,0.29602558245774324,0.7715851987208772,0.85,20240418_D04_ch00_t0005_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0005,20240418_D04_e02,20240418_D04_e02_s0005,5,26747.0,0.5486523526724532,0.5070808588396528,0.6400182731841023,0.5820009136592051,0.85,20240418_D04_ch00_t0005_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0006,20240418_D04_e01,20240418_D04_e01_s0006,6,45655.0,0.17770671539515762,0.6633165829145728,0.297396071265418,0.7706715395157606,0.85,20240418_D04_ch00_t0006_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0006,20240418_D04_e02,20240418_D04_e02_s0006,6,26684.0,0.5495660118775697,0.5089081772498858,0.6395614435815441,0.5833714024668799,0.85,20240418_D04_ch00_t0006_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0007,20240418_D04_e01,20240418_D04_e01_s0007,7,41034.0,0.18730013704888077,0.6624029237094564,0.2923709456372773,0.7679305619004112,0.85,20240418_D04_ch00_t0007_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0007,20240418_D04_e02,20240418_D04_e02_s0007,7,25649.0,0.5504796710826861,0.5102786660575606,0.6391046139789859,0.5856555504796711,0.85,20240418_D04_ch00_t0007_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0008,20240418_D04_e01,20240418_D04_e01_s0008,8,33493.0,0.1845591594335313,0.6610324349017817,0.2814070351758794,0.760164458656921,0.85,20240418_D04_ch00_t0008_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0008,20240418_D04_e02,20240418_D04_e02_s0008,8,24548.0,0.5527638190954773,0.5102786660575606,0.6372772955687529,0.5888533576975788,0.85,20240418_D04_ch00_t0008_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0009,20240418_D04_e01,20240418_D04_e01_s0009,9,34938.0,0.18410232983097305,0.6619460941068981,0.2809502055733212,0.7606212882594792,0.85,20240418_D04_ch00_t0009_masks_emnum_2.png,20240418,20240418_D04,False
20240418_D04_ch00_t0009,20240418_D04_e02,20240418_D04_e02_s0009,9,23619.0,0.5532206486980357,0.49748743718592964,0.6359068067610781,0.5897670169026953,0.85,20240418_D04_ch00_t0009_masks_emnum_2.png,20240418,20240418_D04,False
